"","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","scale_index"
"1198",2023,"EN","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M",1.3317819639157
"1199",2023,"EN","FT","Data Analyst",60000,"USD",60000,"US",100,"US","M",2.09683901314935
"1206",2022,"EN","FT","Data Scientist",85000,"USD",85000,"US",0,"US","M",1.4351814908338
"1208",2023,"EN","FT","Research Engineer",120000,"USD",120000,"GB",100,"GB","M",0.674068414468773
"1209",2023,"EN","FT","Research Engineer",60000,"USD",60000,"GB",100,"GB","M",2.14880761845109
"1224",2023,"EN","FT","Data Analyst",60000,"USD",60000,"US",100,"US","L",1.99350385596212
"1225",2023,"EN","FT","Data Analyst",50000,"USD",50000,"KW",50,"US","L",1.54839695950807
"1231",2023,"EN","FT","Data Scientist",800000,"INR",9727,"IN",0,"IN","L",1.23873173511144
"1236",2023,"EN","FT","Data Analyst",85000,"USD",85000,"US",100,"US","M",0.372093923960629
"1237",2023,"EN","FT","Data Analyst",75000,"USD",75000,"US",100,"US","M",2.36065244853001
"1258",2023,"EN","FT","Data Engineer",12000,"USD",12000,"VN",0,"VN","L",0.399740412852873
"1280",2023,"EN","FT","Data Analyst",55000,"USD",55000,"US",0,"US","M",3.18733299301658
"1281",2023,"EN","FT","Data Analyst",48000,"USD",48000,"US",0,"US","M",2.53261062618519
"1282",2023,"EN","FT","Data Analyst",100000,"USD",100000,"US",50,"US","M",0.764299640899523
"1323",2023,"EN","FT","Data Scientist",110000,"USD",110000,"US",50,"US","S",-0.0264209003067808
"1342",2023,"EN","FT","Data Scientist",1050000,"INR",12767,"IN",50,"IN","L",0.289593436300699
"1347",2023,"EN","FT","Data Engineer",25000,"EUR",26827,"DE",100,"DE","L",1.25688370915653
"1348",2022,"EN","FT","Data Scientist",180000,"USD",180000,"US",100,"US","M",0.753308121537626
"1403",2023,"EN","FT","BI Developer",160000,"USD",160000,"US",0,"US","M",0.652457400602267
"1404",2023,"EN","FT","BI Developer",100000,"USD",100000,"US",0,"US","M",0.0483814327349843
"1413",2023,"EN","FT","Big Data Engineer",130000,"USD",130000,"SE",100,"SE","S",0.95497227519108
"1416",2023,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",0.215095530542924
"1417",2023,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",-0.667941936588137
"1445",2021,"EN","FT","Marketing Data Engineer",90000,"SGD",66970,"SG",50,"SG","L",0.619773479712238
"1464",2023,"EN","FT","Data Analyst",30000,"USD",30000,"AR",100,"US","S",1.91899660906077
"1481",2023,"EN","FT","Data Scientist",124234,"USD",124234,"US",0,"US","M",0.424653037391608
"1482",2023,"EN","FT","Data Scientist",74540,"USD",74540,"US",0,"US","M",1.60796432222503
"1513",2023,"EN","FT","Data Scientist",1060000,"INR",12888,"IN",50,"IN","S",-0.617882708289164
"1528",2022,"EN","FT","Business Data Analyst",48000,"USD",48000,"US",50,"US","L",0.944438034475461
"1529",2023,"EN","FT","AI Developer",120000,"USD",120000,"BA",50,"BA","S",1.51940720394346
"1548",2023,"EN","FT","Business Data Analyst",12000,"EUR",12877,"GR",50,"GR","L",1.30115336216671
"1549",2022,"EN","FT","AI Developer",6000,"EUR",6304,"MK",0,"MK","S",1.10567619414894
"1568",2023,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",0.359293991694624
"1569",2023,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",0.150295653966418
"1631",2023,"EN","FT","Data Scientist",50000,"USD",50000,"IN",100,"US","M",-0.0241287906049132
"1706",2022,"EN","PT","Data Analyst",24000,"EUR",25216,"ES",100,"US","L",1.11764659710013
"1745",2023,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",0.0525253858151978
"1746",2023,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",0.509442556299332
"1747",2022,"EN","FT","Data Scientist",100000,"USD",100000,"US",100,"US","M",0.743907807801753
"1750",2023,"EN","FT","Research Engineer",160000,"USD",160000,"US",0,"US","M",2.84386200523221
"1751",2023,"EN","FT","Research Engineer",120000,"USD",120000,"US",0,"US","M",0.348050098304541
"1754",2023,"EN","FT","Deep Learning Engineer",150000,"USD",150000,"US",0,"US","M",1.23538657228486
"1755",2023,"EN","FT","Deep Learning Engineer",120000,"USD",120000,"US",0,"US","M",1.07796084956371
"1812",2022,"EN","FT","Data Scientist",130000,"USD",130000,"US",0,"US","M",0.0381433658698714
"1820",2023,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",0.928691913876401
"1821",2023,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",2.44455085842335
"1850",2022,"EN","FT","Applied Data Scientist",40000,"USD",40000,"AU",100,"PK","M",1.45150405307921
"1851",2022,"EN","FT","AI Programmer",40000,"USD",40000,"PK",100,"AU","M",1.04123292199294
"1868",2022,"EN","FT","Machine Learning Developer",40000,"USD",40000,"PK",100,"AU","M",0.577503167660375
"1872",2022,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",-1.05324722154052
"1873",2022,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",2.13133721341418
"1874",2022,"EN","FT","Data Science Consultant",23000,"EUR",24165,"IT",50,"IT","M",-0.460640070924822
"1877",2022,"EN","FT","Data Engineer",85000,"USD",85000,"US",0,"US","M",1.73994751087733
"1878",2022,"EN","FT","Data Engineer",65000,"USD",65000,"US",0,"US","M",2.90910356921748
"1893",2022,"EN","FT","Product Data Analyst",100000,"USD",100000,"US",100,"US","M",-0.443893160971799
"1918",2022,"EN","FT","Machine Learning Software Engineer",10000,"USD",10000,"MA",50,"MA","S",1.70178433537471
"1967",2022,"EN","FT","Data Analyst",55000,"USD",55000,"US",0,"US","M",0.737802510597532
"1968",2022,"EN","FT","Data Analyst",48000,"USD",48000,"US",0,"US","M",-0.572144159145488
"1996",2022,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",-0.514667653781751
"1997",2022,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",-0.601536173574593
"2018",2022,"EN","FT","BI Data Analyst",58000,"EUR",60938,"DE",0,"DE","L",0.469093477829697
"2024",2022,"EN","FT","Data Analyst",50000,"USD",50000,"US",50,"US","L",-0.4617555849959
"2029",2022,"EN","FT","Data Scientist",124234,"USD",124234,"US",0,"US","M",1.68791677297583
"2030",2022,"EN","FT","Data Scientist",74540,"USD",74540,"US",0,"US","M",3.10010894052567
"2034",2022,"EN","FT","AI Scientist",200000,"USD",200000,"CA",50,"CA","L",-0.287030476035179
"2035",2022,"EN","FT","Machine Learning Engineer",12000,"USD",12000,"AR",100,"AR","L",1.78773884747518
"2042",2022,"EN","FT","Data Analyst",50000,"USD",50000,"US",50,"US","L",1.76904224100091
"2084",2022,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",1.33220257895012
"2085",2022,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",-0.00837660827700781
"2122",2022,"EN","FT","Data Analytics Engineer",13000,"USD",13000,"AR",100,"AR","S",0.880547393369341
"2129",2022,"EN","FL","Data Analytics Consultant",50000,"USD",50000,"BE",100,"US","S",0.719604664829753
"2150",2021,"EN","FT","3D Computer Vision Researcher",20000,"USD",20000,"AS",0,"AS","M",1.56298953322048
"2180",2022,"EN","FT","Machine Learning Engineer",189750,"USD",189750,"US",0,"US","M",0.627561243896171
"2181",2022,"EN","FT","Machine Learning Engineer",140250,"USD",140250,"US",0,"US","M",1.97697338668562
"2194",2022,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",0.625419142232986
"2195",2022,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",2.05271146557933
"2206",2022,"EN","FT","Machine Learning Research Engineer",63000,"EUR",66192,"DE",50,"DE","L",-0.0491770066660657
"2207",2022,"EN","FT","3D Computer Vision Researcher",50000,"USD",50000,"US",100,"CR","S",-0.260155244758112
"2235",2022,"EN","FT","Data Science Consultant",26000,"EUR",27317,"ES",50,"ES","L",4.24103993494241
"2254",2022,"EN","FL","Machine Learning Engineer",100000,"USD",100000,"IR",100,"IR","M",0.583142411839568
"2268",2022,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",1.29822759154072
"2269",2022,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",1.63656967403385
"2317",2022,"EN","FT","Data Scientist",80000,"USD",80000,"US",0,"US","M",0.516219374291256
"2349",2022,"EN","FT","Data Engineer",160000,"USD",160000,"US",0,"US","M",1.51686204431361
"2350",2022,"EN","FT","Data Engineer",135000,"USD",135000,"US",0,"US","M",1.36896452738509
"2359",2022,"EN","FT","Data Scientist",6600000,"HUF",17684,"HU",100,"HU","M",0.784619492358307
"2379",2022,"EN","PT","BI Analyst",12000,"USD",12000,"MX",100,"US","L",1.06529303352532
"2381",2022,"EN","FT","Machine Learning Developer",33000,"USD",33000,"IT",100,"DE","S",0.965932746261536
"2382",2022,"EN","FT","Machine Learning Scientist",33000,"EUR",34672,"IT",100,"DE","S",3.12845189901618
"2422",2022,"EN","FT","Data Manager",77300,"USD",77300,"US",100,"US","M",0.258663903727172
"2423",2022,"EN","FT","Data Manager",45600,"USD",45600,"US",100,"US","M",-0.0959962670746639
"2451",2022,"EN","FT","Data Engineer",50000,"GBP",61566,"GB",100,"GB","M",1.03778839917108
"2452",2022,"EN","FT","Data Engineer",40000,"GBP",49253,"GB",100,"GB","M",1.31048074944314
"2472",2022,"EN","FT","Data Analyst",64000,"USD",64000,"US",100,"US","L",1.43652347891018
"2473",2022,"EN","FT","Data Scientist",38000,"EUR",39925,"FR",50,"FR","L",0.541634667288894
"2482",2022,"EN","FT","BI Analyst",76000,"USD",76000,"US",50,"US","L",-0.063326133971191
"2502",2022,"EN","PT","Data Analyst",125404,"USD",125404,"CN",50,"US","S",2.26318517608949
"2525",2022,"EN","FT","Data Scientist",180000,"USD",180000,"US",100,"US","M",0.650349612046445
"2526",2022,"EN","FT","Data Scientist",100000,"USD",100000,"US",100,"US","M",0.134487137346626
"2570",2022,"EN","FT","Data Scientist",80000,"USD",80000,"US",100,"US","L",0.763720431058903
"2572",2022,"EN","FT","Data Scientist",96000,"CAD",73742,"CA",100,"CA","L",0.802824105651448
"2574",2022,"EN","FT","Data Scientist",27000,"GBP",33246,"GB",50,"GB","L",2.10992028971364
"2579",2021,"EN","FT","Power BI Developer",400000,"INR",5409,"IN",50,"IN","L",1.0847372921972
"2589",2022,"EN","FT","Machine Learning Engineer",108000,"USD",108000,"US",0,"US","S",1.75405378518452
"2651",2022,"EN","FT","BI Data Analyst",57000,"USD",57000,"US",100,"US","L",0.500707982827739
"2700",2021,"EN","FT","Data Analyst",56000,"AUD",42028,"AU",50,"AU","L",1.2144453095816
"2704",2022,"EN","FT","Data Analyst",20000,"USD",20000,"CR",50,"US","M",0.675314088509165
"2722",2022,"EN","FT","AI Scientist",50000,"USD",50000,"US",100,"US","M",1.09458352817357
"2748",2022,"EN","FT","Data Specialist",105000,"USD",105000,"CL",100,"US","L",0.104636642022458
"2787",2022,"EN","FT","Data Scientist",1800000,"INR",22892,"IN",50,"IN","M",-0.310801533327972
"2790",2022,"EN","FT","AI Scientist",30000,"EUR",31520,"PT",100,"ES","M",2.99721338474797
"2801",2022,"EN","FT","BI Data Analyst",633000,"INR",8050,"IN",100,"IN","M",1.60070882367242
"2808",2022,"EN","FT","Business Data Analyst",50000,"USD",50000,"IN",100,"AS","L",-0.251271361624944
"2820",2021,"EN","FT","Machine Learning Research Engineer",20000,"USD",20000,"FR",50,"FR","M",0.388834083319579
"2835",2021,"EN","FT","Machine Learning Developer",15000,"USD",15000,"TH",100,"TH","L",-0.18548008459731
"2837",2022,"EN","FT","Data Scientist",93000,"USD",93000,"US",0,"US","M",3.19881034888372
"2838",2022,"EN","FT","Data Scientist",73000,"USD",73000,"US",0,"US","M",2.31241297643351
"2841",2022,"EN","FT","Data Analyst",40300,"BRL",7799,"BR",100,"BR","L",0.734854943303647
"2863",2021,"EN","FT","Data Engineer",33000,"GBP",45390,"GB",50,"GB","L",1.54319405923209
"2872",2022,"EN","FT","Data Scientist",50000,"USD",50000,"US",50,"DE","M",0.58566005208114
"2873",2022,"EN","FT","Data Analyst",500000,"INR",6359,"FR",100,"IN","L",0.523753105384422
"2910",2022,"EN","FT","Data Scientist",30000,"EUR",31520,"ES",50,"ES","M",0.211397162149757
"2913",2022,"EN","FT","Data Analyst",46000,"USD",46000,"US",100,"US","L",0.405382732540489
"2914",2022,"EN","FT","Data Engineer",80000,"USD",80000,"US",100,"US","L",2.65090746733669
"2924",2021,"EN","PT","Computer Vision Software Engineer",120000,"DKK",19073,"DK",50,"DK","L",0.945971874914559
"2969",2022,"EN","FT","Data Scientist",82000,"USD",82000,"US",0,"US","L",1.11924523642758
"2970",2022,"EN","PT","Data Scientist",110000,"USD",110000,"DO",100,"FR","M",1.24368742959909
"2976",2022,"EN","FT","BI Data Analyst",32400,"BRL",6270,"BR",100,"BR","L",2.23247587848534
"3015",2022,"EN","FT","Machine Learning Engineer",45000,"GBP",55410,"GB",100,"GB","S",0.48393616905522
"3034",2022,"EN","FT","Data Analyst",50000,"USD",50000,"AR",100,"AR","L",0.00749284960796259
"3035",2022,"EN","FT","Data Scientist",80000,"EUR",84053,"BE",100,"BE","L",2.67569693240319
"3051",2022,"EN","FT","Machine Learning Engineer",115000,"USD",115000,"US",50,"US","L",0.558836783094715
"3060",2022,"EN","FT","Data Analyst",150000,"USD",150000,"US",100,"US","L",0.276934030060126
"3061",2021,"EN","FT","Machine Learning Research Engineer",900000,"INR",12171,"IN",100,"IN","M",-0.236273118883293
"3063",2022,"EN","FT","Applied Data Scientist",50000,"USD",50000,"AT",50,"AT","M",-0.284715722317797
"3072",2022,"EN","FT","Data Analyst",55000,"USD",55000,"US",100,"US","S",0.426026520702013
"3075",2022,"EN","FT","Data Scientist",49500,"EUR",52008,"BE",50,"BE","S",1.61798581716653
"3087",2022,"EN","FT","Analytics Engineer",130000,"USD",130000,"US",50,"US","L",2.10984813892972
"3094",2022,"EN","FT","Machine Learning Engineer",30000,"USD",30000,"GB",100,"GB","L",1.70758835383559
"3095",2022,"EN","FT","Data Analyst",27000,"EUR",28368,"FR",50,"FR","M",0.636342702904747
"3118",2022,"EN","FT","Data Engineer",129000,"USD",129000,"US",100,"US","L",1.0597499373846
"3119",2022,"EN","FT","Data Engineer",86000,"USD",86000,"US",100,"US","L",0.29540353631993
"3120",2020,"EN","FT","Data Engineer",1000000,"INR",13493,"IN",100,"IN","L",0.28278183842599
"3121",2020,"EN","FT","Data Engineer",1000000,"INR",13493,"IN",100,"IN","L",1.88465049897692
"3128",2022,"EN","FT","Machine Learning Developer",180000,"USD",180000,"US",100,"US","L",-0.0155925786035442
"3139",2020,"EN","FT","Data Analyst",20000,"EUR",22809,"PT",100,"PT","M",2.95529396549246
"3140",2022,"EN","FT","Data Analyst",15000,"USD",15000,"ID",0,"ID","L",0.909680406034148
"3144",2022,"EN","FT","Machine Learning Engineer",83000,"USD",83000,"US",0,"US","L",1.21453882662922
"3164",2020,"EN","FT","Data Scientist",43200,"EUR",49268,"DE",0,"DE","S",0.261472295260427
"3194",2022,"EN","FT","Machine Learning Engineer",28500,"GBP",35093,"GB",100,"GB","L",0.42561131023673
"3273",2022,"EN","FT","Data Engineer",40000,"GBP",49253,"GB",100,"GB","M",-0.317016132305242
"3274",2022,"EN","FT","Data Engineer",35000,"GBP",43096,"GB",100,"GB","M",0.817074611627273
"3369",2022,"EN","FT","Data Analyst",67000,"USD",67000,"CA",0,"CA","M",1.41898240492446
"3370",2022,"EN","FT","Data Analyst",52000,"USD",52000,"CA",0,"CA","M",1.32430434416138
"3427",2022,"EN","FT","Data Scientist",1400000,"INR",17805,"IN",100,"IN","M",0.218463512945249
"3431",2022,"EN","FT","Data Engineer",65000,"USD",65000,"US",100,"US","S",0.211378029145998
"3435",2022,"EN","FT","Computer Vision Engineer",10000,"USD",10000,"PT",100,"LU","M",0.497801281657139
"3439",2022,"EN","FT","Data Scientist",66500,"CAD",51081,"CA",100,"CA","L",2.49606066984635
"3444",2022,"EN","FT","Data Scientist",40000,"USD",40000,"JP",100,"MY","L",-0.137303620665745
"3447",2020,"EN","FT","Data Engineer",48000,"EUR",54742,"PK",100,"DE","L",0.820948405619802
"3449",2022,"EN","FT","Data Scientist",120000,"AUD",83171,"AU",50,"AU","M",2.90236182167893
"3457",2022,"EN","CT","Applied Machine Learning Scientist",29000,"EUR",30469,"TN",100,"CZ","M",0.899025114671192
"3459",2022,"EN","FT","Data Engineer",52800,"EUR",55475,"PK",100,"DE","M",-0.359840703821394
"3462",2022,"EN","FT","Research Scientist",120000,"USD",120000,"US",100,"US","L",0.335230564725938
"3468",2021,"EN","FT","Data Scientist",80000,"USD",80000,"US",100,"US","M",1.48545997890488
"3474",2022,"EN","FT","Data Analytics Engineer",20000,"USD",20000,"PK",0,"PK","M",0.624397128330227
"3478",2022,"EN","FT","Computer Vision Software Engineer",150000,"USD",150000,"AU",100,"AU","S",0.438123636450217
"3481",2021,"EN","FT","Data Scientist",100000,"USD",100000,"US",0,"US","S",0.656082765871541
"3482",2022,"EN","PT","Data Scientist",100000,"USD",100000,"DZ",50,"DZ","M",1.09049664713922
"3487",2022,"EN","FT","Financial Data Analyst",100000,"USD",100000,"US",50,"US","L",2.59850877114583
"3489",2021,"EN","FT","Data Scientist",42000,"EUR",49646,"FR",50,"FR","M",0.911434887861116
"3491",2022,"EN","FT","Data Engineer",120000,"USD",120000,"US",100,"US","M",2.08079949615152
"3493",2021,"EN","FT","Machine Learning Engineer",20000,"USD",20000,"IN",100,"IN","S",1.63075411565057
"3494",2022,"EN","FT","Computer Vision Engineer",125000,"USD",125000,"US",0,"US","M",0.886360104493859
"3497",2021,"EN","PT","Data Analyst",8760,"EUR",10354,"ES",50,"ES","M",-0.532902002890598
"3498",2021,"EN","FT","Applied Data Scientist",80000,"GBP",110037,"GB",0,"GB","L",0.47888268244748
"3499",2022,"EN","FT","ML Engineer",20000,"EUR",21013,"PT",100,"PT","L",0.510129546861526
"3500",2021,"EN","FT","Data Analyst",50000,"USD",50000,"US",100,"US","M",1.04715443276153
"3504",2021,"EN","FT","Machine Learning Developer",100000,"USD",100000,"IQ",50,"IQ","S",2.30019867766682
"3512",2021,"EN","FT","BI Data Analyst",55000,"USD",55000,"US",50,"US","S",3.29307897383109
"3514",2021,"EN","FT","Data Engineer",80000,"USD",80000,"US",100,"US","L",2.54758105898377
"3515",2020,"EN","FT","Big Data Engineer",70000,"USD",70000,"US",100,"US","L",0.866849035671056
"3517",2021,"EN","FT","Data Science Consultant",54000,"EUR",63831,"DE",50,"DE","L",-0.756527395557637
"3521",2021,"EN","FT","Machine Learning Engineer",125000,"USD",125000,"US",100,"US","S",0.611220135928257
"3528",2021,"EN","FT","Data Scientist",13400,"USD",13400,"UA",100,"UA","L",1.08920722307329
"3534",2021,"EN","FT","Data Analyst",90000,"USD",90000,"US",100,"US","S",1.84501300406744
"3535",2021,"EN","FT","Data Analyst",60000,"USD",60000,"US",100,"US","S",1.96252796848427
